,occipital
988,52
989,68
990,72
991,64
992,68
993,68
994,68
995,72
996,68
997,88
998,68
999,84
