,ventral
756,96
757,92
758,92
759,76
760,92
761,84
762,96
763,96
764,96
765,96
766,96
767,96
768,96
769,96
770,96
771,96
772,28
773,96
774,92
775,28
776,96
777,92
778,96
779,92
780,96
781,96
782,96
783,96
784,96
785,96
786,92
787,96
788,92
789,96
790,92
791,96
792,28
793,72
794,96
795,96
796,92
797,96
798,96
799,96
800,96
801,92
802,96
803,96
804,92
805,96
806,96
807,96
808,92
809,96
810,96
811,96
812,96
813,96
814,92
815,92
816,96
817,92
818,28
819,92
820,96
821,92
822,96
823,96
824,96
825,96
826,96
827,96
828,96
829,92
830,96
831,96
832,96
833,96
834,92
835,92
836,96
837,96
838,96
839,96
840,96
841,80
842,92
843,96
844,96
845,92
846,96
847,96
848,96
849,96
850,96
851,76
852,96
853,88
854,96
855,96
856,96
857,88
858,96
859,96
860,92
861,80
862,28
863,80
864,96
865,80
866,96
867,96
868,96
869,96
870,96
871,92
872,96
873,96
874,92
875,92
876,84
877,92
878,96
879,92
880,92
881,80
882,96
883,28
884,96
885,96
886,96
887,84
888,96
889,92
890,96
891,92
892,96
893,92
894,96
895,92
896,76
897,96
898,80
899,92
900,96
901,80
902,96
903,96
904,92
905,96
906,96
907,92
908,92
909,92
910,84
911,84
912,96
913,96
914,96
915,92
916,96
917,84
918,92
919,92
920,96
921,96
922,96
923,92
924,92
925,92
926,80
927,92
928,84
929,80
930,96
931,96
932,80
933,96
934,96
935,96
936,96
937,96
938,28
939,96
940,96
941,96
942,92
943,96
944,96
945,96
946,92
947,96
948,80
949,96
950,96
951,92
952,80
953,96
954,92
955,92
956,92
957,92
958,96
959,96
960,80
961,92
962,84
963,96
964,80
965,80
966,92
967,96
968,92
969,84
970,96
971,92
972,92
973,28
974,96
975,92
976,92
977,96
978,96
979,96
980,92
981,96
982,92
983,24
984,92
985,96
986,92
987,96
988,96
989,96
990,96
991,96
992,96
993,96
994,28
995,88
996,96
997,28
998,92
999,92
