dorsal,ventral,occipital,frontal
32,96,64,60
84,92,100,132
32,64,48,168
40,84,76,132
148,148,64,160
64,96,60,168
8,28,12,12
64,64,64,100
84,88,52,164
64,136,60,100
92,136,52,168
160,92,12,168
52,92,48,164
16,24,64,104
40,92,96,132
88,96,96,132
64,92,100,12
80,88,72,164
124,96,96,132
32,136,64,128
0,96,100,8
68,72,52,160
40,92,92,104
64,88,100,100
84,80,100,128
56,120,60,16
120,96,100,60
32,96,64,132
84,76,64,144
64,100,64,108
92,100,100,112
40,92,64,12
92,96,96,104
56,24,60,96
64,68,60,168
64,92,84,100
84,92,80,128
92,96,100,132
84,80,64,104
92,96,80,112
36,80,28,92
32,96,100,108
84,96,68,132
64,0,12,108
120,96,96,132
64,20,60,64
92,96,68,164
92,92,100,108
36,88,72,112
64,72,64,168
64,4,100,96
72,88,96,92
40,88,48,104
88,92,88,164
92,92,96,96
92,96,100,108
92,96,64,112
152,124,64,164
32,84,72,128
16,0,68,136
60,4,60,100
92,96,100,72
32,96,48,112
88,96,96,136
12,96,12,12
52,100,100,12
148,92,64,160
64,8,60,100
32,100,100,104
8,0,64,96
64,92,84,100
28,92,100,108
28,28,52,132
48,92,100,8
28,100,96,64
64,20,52,168
64,88,68,144
64,92,84,100
92,136,128,132
64,104,100,72
28,96,96,112
48,92,100,8
84,96,64,112
40,64,56,168
64,96,104,8
28,64,72,112
92,72,64,168
124,96,100,132
92,96,100,108
64,64,52,64
32,92,96,96
52,96,100,12
40,96,88,112
52,96,52,72
148,140,52,132
40,96,48,68
16,32,12,136
48,96,64,108
52,96,52,60
52,24,52,100
92,96,100,68
64,92,80,164
64,76,52,160
64,64,48,72
48,84,72,96
32,8,8,96
52,92,64,12
164,96,100,12
116,92,64,172
8,92,64,8
64,0,8,100
52,96,76,120
92,12,64,72
64,72,64,72
32,76,64,36
32,80,68,96
64,72,72,96
16,20,12,12
64,88,64,108
88,92,92,12
32,116,116,128
80,84,72,156
88,96,64,64
52,24,12,8
116,92,96,168
64,136,52,104
40,92,96,128
36,92,100,12
84,76,12,132
52,24,12,12
148,136,100,132
32,92,100,112
64,96,100,68
60,24,60,164
12,0,64,164
84,92,68,136
76,72,68,28
76,80,72,100
84,92,68,16
104,96,96,100
40,116,96,184
40,92,12,12
152,136,52,136
36,112,96,104
8,0,64,100
84,92,64,168
140,140,72,132
92,80,64,16
84,88,68,132
48,64,60,116
64,96,64,64
88,96,96,132
32,84,72,96
48,96,100,12
32,92,96,96
48,92,72,12
12,116,64,132
92,136,100,124
32,76,48,168
92,24,92,112
88,96,96,132
92,96,96,132
64,72,68,140
64,96,52,64
140,96,100,132
48,80,84,96
64,76,64,140
8,8,60,8
36,28,60,16
84,92,72,112
40,76,72,116
52,92,72,168
8,8,64,108
164,92,96,108
48,96,64,32
52,84,76,96
64,24,84,104
64,80,84,96
20,32,72,16
8,96,100,16
8,8,68,164
36,96,104,16
48,92,76,12
88,96,96,112
72,84,72,96
36,92,88,8
8,0,64,164
36,92,68,164
40,96,72,112
40,96,96,112
64,80,72,100
88,24,68,4
40,32,72,16
40,92,68,168
80,8,100,108
48,96,100,12
48,72,72,72
84,148,68,64
48,64,64,64
92,96,100,132
32,4,60,36
84,24,88,24
64,20,60,100
92,96,64,164
92,96,68,28
64,96,96,100
20,96,76,132
0,4,60,96
64,100,100,60
32,80,4,100
28,24,16,132
64,96,68,168
48,96,48,108
36,96,64,12
64,92,72,108
64,76,68,100
56,24,64,96
68,76,64,164
64,96,52,36
84,92,72,140
160,148,64,168
88,148,68,132
84,72,68,112
64,92,64,96
84,136,64,16
80,84,72,132
40,84,28,64
16,24,60,12
40,96,96,112
32,80,4,96
64,8,64,32
8,148,60,12
64,84,28,132
92,96,100,108
36,92,72,168
84,28,64,132
92,24,8,8
84,136,68,148
32,96,100,60
56,92,60,168
32,96,100,104
92,92,96,128
32,96,72,132
64,96,64,132
32,92,64,96
84,88,76,108
32,88,52,164
32,84,64,96
128,96,68,16
36,84,96,128
40,28,28,64
32,28,64,12
92,92,64,164
144,100,100,136
36,136,56,164
40,76,64,96
52,96,12,12
20,92,100,96
8,96,64,96
80,88,84,104
92,96,92,8
28,0,64,112
160,100,72,140
36,96,64,60
32,96,100,96
48,96,76,124
64,92,72,68
64,24,64,100
92,24,12,12
48,96,60,12
36,84,48,132
16,8,12,96
172,92,100,164
84,96,68,132
64,0,64,96
32,88,64,132
88,144,68,0
32,0,96,60
40,136,52,112
32,96,100,112
32,72,64,164
60,60,84,96
40,96,72,128
64,24,64,96
24,80,76,100
92,96,100,36
48,96,68,112
64,92,96,72
48,96,96,8
80,76,64,164
64,76,28,96
64,24,64,104
64,68,64,168
152,96,72,164
28,92,64,116
84,24,68,160
32,92,64,68
16,28,64,12
84,24,68,24
80,80,84,156
84,88,52,160
40,76,64,164
40,92,88,128
36,96,96,12
20,80,84,92
64,96,64,60
120,96,84,104
32,96,64,12
48,96,52,168
64,72,64,168
28,80,84,96
32,88,100,96
64,104,64,60
48,100,96,112
12,84,68,96
112,96,100,16
64,96,100,60
92,100,68,168
48,80,72,128
48,96,52,72
84,76,68,112
16,4,12,104
40,84,72,164
92,100,68,112
64,72,64,112
28,24,84,96
24,136,60,112
84,88,92,132
8,24,60,12
16,24,64,8
40,136,64,168
8,92,12,64
64,24,76,96
32,96,100,12
64,92,96,104
12,32,60,168
28,92,100,96
36,64,28,96
92,96,96,112
36,96,64,60
80,72,64,168
48,92,76,104
32,28,96,12
92,96,100,68
48,96,52,112
64,76,64,96
52,64,52,96
32,92,84,128
0,96,68,112
120,92,100,132
64,76,84,96
92,136,64,60
148,100,68,164
32,92,72,128
80,88,100,96
16,28,64,96
64,80,76,100
52,24,60,96
80,24,64,64
28,76,64,96
80,28,28,12
32,92,96,116
88,92,100,132
84,96,68,136
60,92,64,96
88,24,96,28
76,84,84,96
88,92,96,100
64,96,76,108
64,8,12,96
32,92,64,164
52,24,76,96
88,96,88,120
88,96,96,96
8,92,124,104
64,24,60,104
64,88,72,100
48,80,64,108
168,100,68,12
64,112,100,100
28,96,96,96
92,96,100,132
36,96,68,32
48,92,64,96
36,80,64,76
88,24,64,96
40,100,96,108
88,96,76,168
60,96,100,100
40,96,92,132
64,20,64,100
152,96,100,32
132,96,92,136
52,24,60,96
32,24,64,8
28,84,28,96
64,64,56,108
64,92,84,100
64,80,76,68
64,0,64,100
64,12,12,100
60,92,100,96
40,92,96,108
80,88,84,96
28,80,84,96
92,148,12,12
36,96,48,108
80,76,68,168
8,8,64,104
48,72,60,160
68,80,24,100
8,96,68,12
48,96,76,132
16,96,100,8
32,88,96,96
120,96,72,140
84,96,68,132
64,84,80,72
64,100,100,108
28,28,28,96
32,32,84,12
48,28,64,96
88,96,64,28
84,84,64,140
120,0,100,172
64,72,64,100
44,96,68,112
124,100,100,108
36,92,48,68
88,112,64,60
60,68,64,168
28,24,4,96
92,96,100,96
32,80,60,116
84,88,84,96
32,80,96,96
64,80,52,132
92,96,72,168
36,136,100,132
92,100,72,112
36,92,72,164
64,96,64,168
84,76,60,160
84,96,88,64
64,96,64,136
64,92,12,100
32,96,52,168
40,96,68,168
64,92,68,168
48,84,68,168
64,100,96,104
40,28,68,112
76,88,72,168
112,100,96,108
84,88,84,128
64,136,64,144
36,92,100,16
64,116,64,132
8,92,64,168
16,88,64,12
36,136,48,144
88,96,68,168
28,88,100,96
28,76,64,96
64,92,84,96
92,92,100,72
64,24,68,116
20,136,52,128
52,96,68,12
64,92,72,168
36,28,64,28
80,28,64,136
120,92,84,12
48,96,96,112
32,64,60,116
64,92,100,104
76,92,100,132
92,72,64,96
120,96,100,132
32,96,100,96
36,96,124,32
92,76,64,60
64,0,64,108
52,92,100,36
120,0,76,136
64,88,76,104
64,76,72,108
52,56,52,196
92,96,80,112
152,92,124,168
52,24,64,96
152,148,64,168
60,28,60,164
32,24,52,12
76,76,84,96
32,92,100,108
64,100,64,168
160,92,100,12
84,24,88,4
36,92,64,64
36,92,64,128
84,100,68,132
80,24,64,16
68,96,96,72
64,84,72,100
64,84,64,100
52,24,80,96
84,92,80,168
32,92,96,12
84,88,68,168
