,corrs,x_coord,y_coord,offset,label
104,0.009913546230650173,[1],[30],[-116],Dorsal
105,0.035699845572821305,[1],[31],[-120],Dorsal
106,0.05038800041201105,[1],[32],[-124],Dorsal
107,0.06590925615657858,[1],[33],[-128],Dorsal
108,0.07155754632255329,[1],[34],[-132],Dorsal
109,0.060076698827450904,[1],[35],[-136],Dorsal
110,0.04181464316235057,[1],[36],[-140],Dorsal
111,-0.00044108849208065976,[1],[37],[-144],Dorsal
112,-0.028910226712521046,[1],[38],[-148],Dorsal
113,-0.04523930590992443,[1],[39],[-152],Dorsal
114,-0.0425316063610091,[1],[40],[-156],Dorsal
115,-0.03630746611518459,[1],[41],[-160],Dorsal
116,-0.050129573715137,[1],[42],[-164],Dorsal
117,-0.09517640480538887,[1],[43],[-168],Dorsal
118,-0.15800269306371323,[1],[44],[-172],Dorsal
119,-0.1962644160447797,[1],[45],[-176],Dorsal
120,-0.20553419239349008,[1],[46],[-180],Dorsal
121,-0.2029719677083249,[1],[47],[-184],Dorsal
122,-0.20492358912619446,[1],[48],[-188],Dorsal
123,-0.1897156490841012,[1],[49],[-192],Dorsal
124,-0.17431103064924666,[1],[50],[-196],Dorsal
125,-0.1579890773764712,[1],[51],[-200],Dorsal
126,-0.1479742762229598,[1],[52],[-204],Dorsal
127,-0.14492316768263325,[1],[53],[-208],Dorsal
128,-0.14811050692870842,[1],[54],[-212],Dorsal
129,-0.16867362927760238,[1],[55],[-216],Dorsal
130,-0.1977681332149849,[1],[56],[-220],Dorsal
131,-0.2104835298204744,[1],[57],[-224],Dorsal
132,-0.20634305672877035,[1],[58],[-228],Dorsal
133,-0.20274370555237514,[1],[59],[-232],Dorsal
134,-0.21707392328030226,[1],[60],[-236],Dorsal
135,-0.23765967821722264,[1],[61],[-240],Dorsal
136,-0.251135569366861,[1],[62],[-244],Dorsal
137,-0.2303134088358867,[1],[63],[-248],Dorsal
138,-0.17625776914237187,[1],[64],[-252],Dorsal
139,-0.13974320607273233,[1],[65],[-256],Dorsal
140,-0.1335923112318319,[1],[66],[-260],Dorsal
141,-0.12060105860919468,[1],[67],[-264],Dorsal
142,-0.11043268555333512,[1],[68],[-268],Dorsal
143,-0.13140573564136993,[1],[69],[-272],Dorsal
